timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594391602461,473,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-704,,true,,13351,285,982,982,null,0,2614,0
1594391605075,473,catalog-0,200,,jp@gc - Ultimate Thread Group 1-704,text,true,,13351,285,982,982,http://localhost:8082/books/,473,0,1
1594391604322,48,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-342,,true,,13353,285,982,982,null,0,1178,0
1594391605500,48,catalog-0,200,,jp@gc - Ultimate Thread Group 1-342,text,true,,13353,285,982,982,http://localhost:8082/books/,48,0,0
1594391602090,87,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-682,,true,,18448,287,982,982,null,0,3377,0
1594391605467,87,book-0,200,,jp@gc - Ultimate Thread Group 1-682,text,true,,18448,287,982,982,http://localhost:8082/books/15,86,0,1
1594391604850,597,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-508,,true,,20072,286,982,982,null,0,109,0
1594391598574,2554,login,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-307,,true,,18670,864,982,982,null,0,4428,0
1594391604959,597,book-0,200,,jp@gc - Ultimate Thread Group 1-508,text,true,,20072,286,982,982,http://localhost:8082/books/8,596,0,0
1594391599871,455,login-0,200,,jp@gc - Ultimate Thread Group 1-307,text,true,,4977,231,820,820,http://localhost:8082/login,455,0,0
1594391603457,2099,login-1,200,,jp@gc - Ultimate Thread Group 1-307,text,true,,13693,633,982,982,http://localhost:8082/books,2050,0,1
1594391604271,380,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-753,,true,,13351,285,982,982,null,0,906,0
1594391605176,380,catalog-0,200,,jp@gc - Ultimate Thread Group 1-753,text,true,,13351,285,982,982,http://localhost:8082/books/,380,0,1
1594391603833,673,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-778,,true,,10879,187,982,982,null,0,1053,0
1594391604885,673,Book category-0,200,,jp@gc - Ultimate Thread Group 1-778,text,true,,10879,187,982,982,http://localhost:8082/books/category/1,673,0,1
1594391600452,2587,review,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-621,,true,,40437,1449,982,982,null,0,2521,0
1594391602478,1361,review-0,200,,jp@gc - Ultimate Thread Group 1-621,text,true,,20373,1115,932,932,http://localhost:8082/books/23#reviews,596,0,1
1594391604334,1226,review-1,200,,jp@gc - Ultimate Thread Group 1-621,text,true,,20064,334,982,982,http://localhost:8082/books/23,1225,0,0
1594391594924,3464,login,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-440,,true,,18670,864,982,982,null,0,7180,0
1594391600969,1155,login-0,200,,jp@gc - Ultimate Thread Group 1-440,text,true,,4977,231,880,880,http://localhost:8082/login,1155,0,1
1594391603258,2309,login-1,200,,jp@gc - Ultimate Thread Group 1-440,text,true,,13693,633,982,982,http://localhost:8082/books,2056,0,1
1594391603695,175,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-727,,true,,10879,187,982,982,null,0,1698,0
1594391605392,175,Book category-0,200,,jp@gc - Ultimate Thread Group 1-727,text,true,,10879,187,982,982,http://localhost:8082/books/category/1,175,0,0
1594391603111,669,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-844,,true,,18738,287,982,982,null,0,1788,0
1594391604899,669,book-0,200,,jp@gc - Ultimate Thread Group 1-844,text,true,,18738,287,982,982,http://localhost:8082/books/21,668,0,1
1594391603712,184,Book category,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-572,,true,,7917,187,982,982,null,0,1676,0
1594391605388,184,Book category-0,200,,jp@gc - Ultimate Thread Group 1-572,text,true,,7917,187,982,982,http://localhost:8082/books/category/3,184,0,0
1594391603174,189,book,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-752,,true,,18569,287,982,982,null,0,2212,0
1594391605386,189,book-0,200,,jp@gc - Ultimate Thread Group 1-752,text,true,,18569,287,982,982,http://localhost:8082/books/25,188,0,1
1594391602166,2401,login,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-250,,true,,18670,864,982,982,null,0,1008,0
1594391602598,567,login-0,200,,jp@gc - Ultimate Thread Group 1-250,text,true,,4977,231,909,909,http://localhost:8082/login,567,0,0
1594391603741,1834,login-1,200,,jp@gc - Ultimate Thread Group 1-250,text,true,,13693,633,982,982,http://localhost:8082/books,1308,0,1
1594391599546,2537,review,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-735,,true,,24173,1424,982,982,null,0,3495,0
1594391600716,2242,review-0,200,,jp@gc - Ultimate Thread Group 1-735,text,true,,5323,1091,905,905,http://localhost:8082/login,1043,0,0
1594391605283,295,review-1,200,,jp@gc - Ultimate Thread Group 1-735,text,true,,18850,333,982,982,http://localhost:8082/books/9,295,0,1
1594391604503,150,catalog,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-721,,true,,13351,285,982,982,null,0,926,0
